NO OK;SALES;TOKO;ALAMAT;DAERAH;PROGRAM;VB ONLINE;BIAYA;TANGGAL
;;PANTES KNG 1;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;05-Sep-2022
;;PANTES KNG 2;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;05-Sep-2022
;;PANTES SDL;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;07-Sep-2022
;;PANTES KGR;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;08-Sep-2022
;;PANTES PERUM;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.100.000;09-Sep-2022
;;PANTES KTG;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;12-Sep-2022
;;HIDUP SLAWI;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;13-Sep-2022
;;PANTES INDRAMAYU;;Cirebon;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;13-Sep-2022
;;HIDUP PAGONGAN;;Tegal;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;20-Sep-2022
;;SEMBADA GOLD JEND SUDIRMAN;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;20-Sep-2022
;;BUNGA TANJUNG 1;;Semarang;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-Sep-2022
;;SEMAR GOLD 2;;Sidoarjo;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;21-Sep-2022
;;SEMBADA GOLD PS WAGE;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;22-Sep-2022
;;BINTANG SURYA MEDAN;;Medan;NAGATECH GROCERY STORE SOLUTION;;Rp1.500.000;26-Sep-2022
;;SEMBADA GOLD RITTA MALL;;Purwokerto;JEWELRY CARE;;Rp400.000;27-Sep-2022
;;SEMBADA GOLD RITTA MALL;;Purwokerto;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER + NAGATECH DIAMOND SOLUTION;;Rp1.000.000;27-Sep-2022
;;ARTA ANUGERAH;;Pekalongan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED;;Rp900.000;28-Sep-2022
;;BARES 4;;Muntilan;NAGATECH GOLD STORE SOLUTION FULL WEB BASED + NAGATECH MEMBER SOLUTION;;Rp900.000;01-Oct-2022
